    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.484724628,       2.998120994,     0.09427536327,      0.0974743882
      -2.593370512,       2.898730813,      0.1429741943,      0.1379742867
      -2.630584039,       2.854567791,      0.1820436552,       0.169301596
      -2.669393068,        2.81353194,      0.2121050708,      0.1954247766
      -2.704886314,       2.776536528,      0.2339193592,      0.2166913296
      -2.733857451,       2.745392394,      0.2489868363,       0.232982661
      -2.753493159,        2.72350494,      0.2588231195,      0.2444642044
      -2.765921469,       2.709942685,      0.2645765411,      0.2515514959
      -2.777717762,       2.698019617,      0.2673756335,      0.2557845325
      -2.788036533,       2.687743824,      0.2679249051,      0.2579545653
      -2.795643221,       2.680295713,      0.2668017128,      0.2588240935
      -2.800198191,       2.676186032,       0.264629885,       0.258710232
      -2.803637925,        2.67318243,      0.2616203796,      0.2588981561
      -2.806215572,       2.670963128,      0.2579771715,      0.2594673861
      -2.809208758,        2.66804863,      0.2539920841,      0.2597199843
      -2.812981675,       2.664100546,      0.2497980994,      0.2592623683
      -2.817795299,       2.658930188,      0.2454659884,      0.2584496909
      -2.822813215,       2.653327355,       0.241089752,      0.2576641299
      -2.827155455,       2.648353784,      0.2367865785,      0.2567127025
      -2.830928663,       2.643919739,      0.2326716064,      0.2555241415
      -2.833892504,       2.640424829,      0.2287309608,      0.2543926971
      -2.836693705,       2.637146683,      0.2250068526,      0.2536533977
      -2.839295862,       2.634064946,      0.2215218712,      0.2530084505
       -2.84215885,       2.630722406,      0.2182765378,      0.2523106136
      -2.845104635,       2.627311321,      0.2152340576,      0.2516212683
      -2.848208741,       2.623758277,      0.2123266818,      0.2508916395
      -2.851143734,       2.620389777,      0.2095461946,      0.2502183723
      -2.853812406,       2.617320036,      0.2068521786,      0.2496214231
      -2.856859313,       2.613931422,      0.2042796308,      0.2491706807
      -2.859875203,       2.610574074,      0.2017778022,      0.2487471774
      -2.862771345,       2.607367673,      0.1993440316,      0.2484511175
      -2.865360323,       2.604524215,      0.1969967516,      0.2480417059
      -2.867935184,       2.601684539,      0.1947135545,      0.2475494856
      -2.870563948,       2.598803054,      0.1925228311,      0.2472170982
      -2.873067487,       2.596052217,      0.1903705232,      0.2467785489
      -2.875380969,       2.593482689,      0.1882737549,      0.2462155481
      -2.877486013,       2.591099697,       0.186215345,      0.2455585159
      -2.879388274,       2.588957928,      0.1841993931,      0.2446433907
      -2.881122218,       2.586973645,       0.182269445,       0.243825936
      -2.882394713,       2.585467526,       0.180402102,      0.2431335022
      -2.883375708,       2.584249854,      0.1785830001,      0.2425656197
      -2.884110261,       2.583301927,      0.1768194149,      0.2420856885
      -2.884590622,       2.582622312,      0.1750875684,      0.2415512305
      -2.884839263,        2.58213734,      0.1733880767,      0.2409220686
      -2.884825485,       2.581908933,      0.1717106832,      0.2401433271
       -2.88463909,       2.581898146,      0.1700833338,      0.2394607843
      -2.884627401,       2.581739041,       0.168508156,      0.2388388425
       -2.88449155,        2.58169038,      0.1669785484,      0.2383163224
      -2.884390896,       2.581618918,      0.1654847699,      0.2378453321
      -2.884234397,       2.581598094,      0.1640278753,      0.2375196426
       -2.88408475,       2.581585857,      0.1626060283,      0.2372951403
      -2.883978318,       2.581545341,      0.1612208099,      0.2370638626
      -2.884013482,       2.581346946,      0.1598510229,      0.2369466718
      -2.884054554,       2.581140741,      0.1585056938,      0.2367616725
       -2.88406212,       2.581003413,      0.1571810364,      0.2365619044
      -2.884097941,       2.580839835,      0.1558824513,      0.2361326964
      -2.884144614,       2.580655042,      0.1546043941,      0.2356776177
      -2.884195918,       2.580457266,      0.1533578835,      0.2352342353
      -2.884097523,        2.58041255,      0.1521299745,       0.234785665
      -2.883951028,       2.580425016,       0.150924897,      0.2344257474
      -2.883739989,       2.580492677,      0.1497310333,      0.2341497225
       -2.88345757,       2.580617495,      0.1485517214,       0.233900747
      -2.883102299,        2.58081023,      0.1473942793,      0.2334795069
      -2.882667897,       2.581089625,      0.1462555889,       0.233118483
      -2.882250899,       2.581342654,      0.1451365513,      0.2327164499
      -2.881788922,       2.581630836,      0.1440252956,      0.2321734699
      -2.881198482,       2.582055424,      0.1429081187,      0.2315315615
      -2.880520258,        2.58257757,      0.1418087586,      0.2309669097
      -2.879762683,       2.583173163,      0.1407216118,      0.2304493757
      -2.878963726,       2.583819259,      0.1396937624,      0.2301373375
      -2.878141541,       2.584475974,      0.1386647343,      0.2298601204
      -2.877273594,       2.585184775,      0.1376439853,      0.2294317351
      -2.876461043,       2.585835039,      0.1366662144,       0.229063817
      -2.875569771,       2.586563584,      0.1356970298,      0.2287000677
      -2.874689356,       2.587269311,      0.1347267041,      0.2282764317
      -2.873882825,       2.587879219,      0.1337543414,      0.2278160265
      -2.873057993,       2.588507104,      0.1327958176,      0.2273538038
      -2.872168392,       2.589205779,      0.1318640858,      0.2269273156
       -2.87123228,       2.589948717,      0.1309530571,      0.2264494654
      -2.870466604,       2.590506588,      0.1300461821,       0.225939801
      -2.869726746,       2.591044029,      0.1291449743,      0.2253507917
      -2.868998095,       2.591592728,      0.1282542001,      0.2246684538
      -2.868224289,       2.592196222,       0.127371145,      0.2241383651
      -2.867532262,       2.592709011,      0.1264994913,      0.2236532344
      -2.866853908,       2.593204201,      0.1256424226,      0.2231127541
      -2.866188433,       2.593697633,      0.1247908894,      0.2225939003
      -2.865539965,       2.594183624,      0.1239369275,      0.2220561854
      -2.864882609,       2.594677101,      0.1231040436,      0.2217202496
      -2.864230825,        2.59515215,      0.1222721549,      0.2214210445
      -2.863565603,       2.595634906,      0.1214457366,      0.2211207572
      -2.862817099,       2.596210727,      0.1206220248,      0.2208724536
      -2.862064039,        2.59678927,       0.119800746,      0.2206116116
      -2.861268852,       2.597400057,      0.1189885151,      0.2201809244
      -2.860460738,       2.598007298,      0.1181900146,      0.2196339852
      -2.859513478,       2.598761239,       0.117384712,      0.2191707785
      -2.858502322,       2.599583025,      0.1165802362,      0.2187641729
      -2.857483858,       2.600410979,      0.1157866677,      0.2182374897
      -2.856462724,        2.60123052,      0.1150013899,      0.2176585774
      -2.855443115,       2.602055906,      0.1142143839,      0.2170700955
      -2.854447887,       2.602856878,      0.1134246538,      0.2164415474
      -2.853497659,       2.603618767,      0.1126428006,       0.215768077
      -2.852531656,       2.604398585,      0.1118708318,      0.2151568084
        -2.8515947,       2.605144568,      0.1110912943,      0.2148030147
      -2.850767287,       2.605770885,      0.1103268886,      0.2143048967
      -2.849980567,       2.606354409,      0.1095757597,      0.2137356734
       -2.84924282,       2.606891011,      0.1088314756,      0.2132588821
       -2.84849241,        2.60743878,      0.1080883499,      0.2127229591
      -2.847732466,       2.607993086,      0.1073331432,      0.2121630617
      -2.846975568,       2.608540026,      0.1065939152,      0.2117567788
      -2.846197686,       2.609102987,      0.1058836197,      0.2112073686
      -2.845374805,       2.609703326,      0.1051768172,      0.2106796282
      -2.844491469,       2.610356731,      0.1044709042,      0.2101762697
      -2.843637351,       2.610970695,      0.1037515657,      0.2096044505
      -2.842719518,       2.611652782,       0.103030086,      0.2090661083
       -2.84175559,        2.61239333,      0.1023160584,      0.2084895282
      -2.840794067,       2.613135188,      0.1016065406,      0.2079029482
      -2.839841362,       2.613868099,       0.100910437,      0.2073218598
      -2.838916031,       2.614571848,      0.1002156011,      0.2067884747
      -2.837937294,       2.615338313,     0.09950997366,       0.206235333
      -2.836902415,       2.616163956,     0.09881423988,      0.2055763765
      -2.835918886,       2.616930414,      0.0981264306,      0.2050230917
      -2.834977493,       2.617640021,     0.09743838027,      0.2045645858
      -2.833994934,       2.618394732,     0.09675591607,      0.2041143599
      -2.832978405,       2.619190723,      0.0960819797,      0.2035915742
      -2.831984571,       2.619966683,     0.09541326674,      0.2030189986
      -2.830982854,       2.620742677,      0.0947427874,      0.2024622646
      -2.830019462,       2.621467384,      0.0940736713,      0.2018868066
      -2.829033532,        2.62221099,     0.09341618607,      0.2012718948
      -2.828018194,       2.622982198,     0.09276045568,      0.2005925263
      -2.827024769,       2.623734314,     0.09210790267,      0.1998594026
      -2.826052674,       2.624460655,     0.09146280887,      0.1991784807
      -2.825032935,       2.625235729,     0.09081800667,      0.1985617895
      -2.823995098,       2.626031156,     0.09017181957,      0.1980208677
      -2.822922909,       2.626862175,     0.08953374429,      0.1974940637
      -2.821805946,       2.627741533,      0.0889004068,      0.1970975077
      -2.820707113,       2.628595265,     0.08826873327,      0.1967262897
      -2.819553135,       2.629506364,     0.08763998619,      0.1963337564
      -2.818406337,       2.630407122,     0.08701110782,      0.1959111738
      -2.817176831,       2.631391499,     0.08637184477,      0.1953932296
       -2.81589852,       2.632423601,     0.08573247658,      0.1949386629
      -2.814625108,       2.633448983,     0.08511241037,      0.1945007682
      -2.813337328,       2.634494017,     0.08450181313,      0.1940619977
      -2.812012083,       2.635583827,     0.08389159292,      0.1936547646
      -2.810686475,        2.63668077,     0.08328322063,      0.1932432829
      -2.809336737,       2.637808217,     0.08267213999,      0.1928386579
      -2.807980737,       2.638955416,     0.08206725916,      0.1925885563
      -2.806650434,       2.640087511,     0.08147881308,      0.1922711908
      -2.805351263,       2.641194877,     0.08089465304,      0.1918696318
      -2.803979428,        2.64239392,     0.08032229389,      0.1915057781
      -2.802582612,       2.643630423,     0.07975440862,      0.1911354353
      -2.801192417,       2.644872947,     0.07918669749,       0.190770594
      -2.799809585,       2.646119535,     0.07861857442,      0.1902985139
      -2.798430137,       2.647370833,     0.07804671982,      0.1898080773
       -2.79698675,       2.648696064,     0.07747248072,       0.189340215
      -2.795483738,        2.65008926,     0.07689317395,      0.1888356621
      -2.793955706,       2.651512762,     0.07633007047,      0.1884659277
      -2.792385802,       2.652983877,     0.07577655657,      0.1881386655
      -2.790794146,       2.654479496,     0.07522830397,      0.1877717034
      -2.789179791,       2.655996529,     0.07468566385,      0.1872879054
      -2.787510437,       2.657568794,     0.07415047866,      0.1867666969
      -2.785856172,       2.659125933,     0.07360963782,      0.1863038103
      -2.784209457,       2.660675565,     0.07304931569,      0.1857737514
      -2.782612557,       2.662176768,     0.07250315954,      0.1852922574
      -2.781009806,       2.663685181,     0.07197167075,      0.1848608886
      -2.779434347,       2.665165781,     0.07145147363,      0.1843953612
      -2.777913041,       2.666586045,     0.07094139567,      0.1839860884
      -2.776439495,       2.667956005,     0.07043895407,      0.1836030455
